Work_per_GPU,one_TFLOPss,two_TFLOPss,four_TFLOPss
0.0625,,,1.5394670878097703
0.125,,2.694164007768529,3.118140047632566
0.25,3.0596501253657244,5.526443322781133,6.079860515471577
0.50,6.159101961630352,10.700069239256377,11.67970831450386
1.0,12.109058140578533,18.47093220932375,21.105108741794403
2.0,24.742879076723213,28.873578540193975,28.05630300628707
4.0,37.810482062449516,40.921689441718186,38.90503875968992
8.0,48.63819188553384,54.77944581960915,46.30277317375118
16,66.54817588866968,61.99746284235498,57.14285714285714
